lyrics,genre
sleep the_city dream stand still i_know sure outside shadow the_street a_new break free i_know everything change inside,rock
i_remember remember my_mind something even so_much space space space space without care touch i_know enough know too_much crazy crazy crazy the_time your_life yeah think come_on you_think huh your_soul you_really think control,pop
talk lover young pretty in_love he_say sorry want_to get babe set free let_you be_come come_on fool around cause hurt you_let you_get you_get you_know true you_get you_get you_know true you_get want_to believe kiss girl last i_still love_me you_get,pop
head across_the land head head dead head kill head ahead head dead head just_like old one head hate without end head land head fate hand head kill head blood end,metal
shit shit yo i_go shoot fly set though fly shoot different laugh fuck to_go shit shit yo i_put bitch mad cause_i never bring your_name hot top five you_need money i_get mine ya,hip hop
light mountain call_me shine the_water ask be_mine fine he_say son tonight city cause many try_to work line lady mama line still many bad boy try_to work line well sweet run well give_you ghost run show let_you free hit you_go sell body pay high know get stick stone make magic,rock
secret i_keep wish_i go keep nothing break your_heart you_tell_me wait to_find someone no_one nothing break your_heart you_get so_far the_water the_door mile away matter reason my_head my_hand sit wild feeling,indie rock
good like rest turn away i_see cry good good i_know i_see say i_look right turn ear sky good good i_hear you_say sleep like_the rest try good good every chance yet still fail to_see my_hand wonder within good i_say thing laugh face sorrow turn back die good,rock
sick people talk sick sick open around use cry head straight wanna make_me old man sit say_that mean head straight get_the lock old man sit say_i keep pretty straight oh pass sick feeling use you_wanna break wall gonna get open around use cry,pop
ah yeah work girl gotta work like turn head two cause worth gonna waste my_time wait make move two three day real man sometimes i_want wing ready_to fall ooh head yeah soul gonna watch walk watch walk head yeah slow take_my hand cause find another man,pop
forever young ground cold death still hair full_of flesh full_of come upon u worth crazy open wound life your_love world world taste forever fly alone taste taste taste of_life steal u light may might one forever taste taste,metal
hey yeah_yeah hey yeah_yeah_yeah yeah ooh yeah live inside yeah_yeah tonight tear you_go go cry river lead never fall apart the_word broken heart take_me catch sorrow song you_come back come home you_know nobody leave this_world tight and_you_know nobody leave this_world kiss kiss,pop
the_fire burning sun sun god bear the_fire hell soul fire nothing nothing,metal
sound good feel good and_get pay change car the_end_of yeah oh_oh_oh oh_oh_oh oh_oh home cause pay get enough the_end_of the_world yeah oh_oh_oh oh_oh_oh oh_oh hey everybody get yeah get pay you_say everybody gotta live today get yeah get pay oh_oh_oh oh_oh_oh oh_oh_oh oh_oh_oh oh_oh_oh oh,pop
em em line line,hip hop
dawn fear foot cold light dark dawn fear raise the_morning break like_a wave dawn fear cloud the_end never return keep the_fire burning blood dawn fear the_night dawn fear,metal
i_wanna_be i_wanna shoot gun i_wanna drop i_wanna hurt no_one i_wanna fight i_wanna even understand war the_way the_world tell_me the_way the_world sell the_way the_world the_way the_world change real the_fire get_a get_a get nobody cause scar the_way the_world tell_me the_way the_world sell the_way the_world the_way the_world change live_in peace girl raise a_little family way the_way the_world yeah the_way the_world the_way the_world,rock
round my_head round my_head tryna find_a way_to forget get_it baby close baby still close tryna look ahead tryna look ahead gotta to_go close baby still close ask i_feel i_say good fine hop smile hide the_pain inside good fine ask cause_i might break cry i_ever ever gon forget wanna spend my_life behind fine fine fine fine fine fine fine get_me the_wall wait_for call well let_it ring time,pop
i_find i_never throw away mine give i_keep people give away keep piece i_like people always seem_to book write so_much forget make_a put a_little take_you easy lonely work,rock
one two three four five year go year go i_still feel_the way_i i_still look the_world change old day old day old i_think stay oh stay oh stay one two three four five year i_see child inside year know know fight i_look time_i lonely pray save old day old day old i_wish stay i_wish stay i_wish stay,pop
the_light the_night cry piece way_to wait to_see speak the_dark the_way lose reason laugh in_the_sky wait face your_heart race the_sky,heavy metal
last fire touch to_feel easy burn heal cold to_come back i_keep set warm i_go set fire warm i_keep set warm i_go set fire warm i_go set fire warm look_for i_want_to hear star mirror,electronic
well true they_say they_say new tell_you everything enough i_get people say i_get people say_that way_i get people say way see_the walk see_the talk see_the name see_the walk see_the talk see_the write name they_say get the_truth baby lie well true they_say win gonna something sad you_wanna feel_like see_the bad,rock
oh pretty baby feeling hide you_get you_get oh pretty feeling deep inside you_get you_get the_light shin around blind my_eye magic you_tell_me secret lie oh pretty feeling deep inside you_get you_get,rock
come first light men arm call u to_fight yet fight soon take home begin home keep take one one rise sun dead side first something burn hear laugh outside u word set house smoke u five alive run flame u home burning wall way_to break free,metal
get your_head thing meet set oh i_wish lookin i_would feel well door wait_for the_word good the_last one well song go yeah_yeah_yeah thing goin crazy sure change feel_the i_think strong to_find can_feel like_i belong well_i away,rock
one open laugh the_way ring make spirit bright ride sing song tonight oh the_way oh ride one open the_way oh ride one open the_ground white go young take_the girl tonight sing song two open take_the lead,pop
please take_my man please take beyond flame lock hair skin eye green smile breath voice like rain cannot talk sleep nothin call your_name understand take_my man please take_my man please take,rock
well_i dream play old five song inside sweet you_say sad sing fall nowhere to_go you_go no_one to_see you_see nothing_to feel you_feel song round around like_a bird lose inside cloud cut the_light sure way wait cloud break soon escape find_a place in_the_sky,alternative rock
name send name name fire gun name war head shot hit_the i_know your_love be_go hit lock the_door too_late fight tell_me you_need pretend my_mind one love_be war name send name war name fire gun name war,hard rock
hear voice face to_know kiss hold your_hand to_know can_feel i_know_that can_feel i_look i_know look upon look upon i_look i_know look upon look upon get lock inside the_past i_know_that change oh_oh_oh let_you go i_know_that be_wait i_know_that be_wait i_look i_know look upon look upon i_look i_know look upon look upon,alternative rock
old room city the_rain my_time remember pain see boy the_street die take fly see_the fly fly alone flame memory go two find get you_want lay money lonely men die sell bring tear my_eye see_the fly fly alone flame memory go,jazz
move white,rock
everybody get forget trouble a_little together let_me see_you move different style come old lady hide feel_the ride shake baby dance feeling fine you_get promise gonna show a_little star tonight take_it easy take_it slow gonna dance rock roll take_it easy take_it slow gonna dance rock roll little baby well mama like_the shake baby try cause reason gonna show little star tonight,pop
my_love my_love my_love leave broken empty wanna breathe find send never love so_much to_say find_a way you_know really feel leave outside alone cold well maybe it_feel leave outside alone leave outside alone tell_you my_life be_wait bring without mean okay i_feel safe pray,pop
bear upon brain way_to go around home fuck lose bring another bed full_of tear hope wish come apart alone rest year come inside leave to_go bear upon brain way_to go around home,metal
show your_face get word speak shoot straight let play keep get_the heart choose will_never know lose never let_go will_never grow show head black face music face the_truth act drown hurt free will_never know lose never let_go will_never grow,alternative rock
yeah your_life the_time nigga be_bear best leave dead city look war go wrong go strong would bad run meet meet love love_be angel two be_bear em make_it inside cloud sorrow baby boy king name would even give hope give care raise watch light keep let story a_little i_would you_like little brother would give_you fit sometimes though i_think shit the_one never pretend would write hard time fight give grace face face make_it right damn,hip hop
well big get cut nothing_to year smoke really small word small never see_you small small cut hair drink a_little boy always feel stop wonder feel_like lie another big small never see_you small small let_it lie let_it die along the_way learn,rock
be_go seem thought your_head thought make sense another keep you_come fine tell still try afraid we_get straight wait_for less try pay you_come fine run everything in_time,indie rock
i_would tear well read strong man ever live earth walk along look the_ground saw old bone arm chain break like get_to move dead he_say world i_would tear get crawl upon back well read kill a_man get hand kill dead make head,pop
close eye fall space go feel your_heart slow dead night nobody nobody nobody so_much scar live breathe dead nobody nobody silence fill time_to tell the_truth see_the word sign end eye,electronic
drop world go stop love_me love_me tell your_mind fall word please every a_time breathe slow dance cover look_at lover look_at mine eye i_get well top please drop say still mine baby a_time breathe baby slow dance cover look_at lover look_at,pop
get_to keep move i_get_to keep move blue fall like blue fall like blue fall like blue fall like the_day worry today today tomorrow day today tomorrow day need little sweet pass the_time away pass the_time away hot foot door door hot foot door mind every old place i_go every old place i_go tell the_wind rise tree tree tell the_wind rise tree i_need little sweet woman hey_hey hey_hey,rock
try_to friend dear reason two apart to_tell friend dear i_tell my_heart easy to_say stranger game start easy lie stranger tell lie your_heart smile inside bring wonder home forget ring say soon back dear fool the_whole town may tell soon back dear i_tell my_heart smile inside bring wonder home forget ring say soon back dear fool the_whole town may oh_i say soon back dear i_tell my_heart ooh oh i_tell my_heart right,jazz
nothing last forever sure make take young may oh mean i_still survive old moment go turn i_believe still old young may oh mean try_to old young may maybe try old nothing last forever sure make take nothing last forever sure make take nothing last forever,rock
,rock
final yo,pop
time open go_to work like_i say like_i say like_i say like_i say man never feel_the like_i say like_i say like_i say like_i say_i ya nothing yeah play to_say like_i say like_i say like_i say like_i say the_way like_i say like_i say like_i say like_i say stand side shit start break gonna think go blind moment come around gonna think go blind,rock
white be_come door you_hear outside outside war war yesterday go war war you_tell_me fight within blood outside outside war war yesterday go war war you_tell_me fight child learn kill pay dog take_the place god death laugh your_face place you_give child gun come soon gonna call,heavy metal
the_dark bear the_pain memory fade turn of_time so_much to_say long tear fear rise star shin destiny wait_for keep believe pray far beyond fight far beyond back_to back_to the_light,rock
come come son come everything song song sweet kiss three wish beautiful smile ever see sweet kiss three wish,pop
nothing low life think bout life help fall help fall nothing low life think bout life try_to fight old fight still low life man hard life without love inside cold wonder sure please tell_me break much easy way cause_i let_you much easy way nothing low life think bout life help fall help fall nothing low life think bout life try_to fight old fight still low life,alternative rock
night lonely force face long way_to might storm god a_new angel storm world flame heaven wind war new golden dawn stop still warm soul,heavy metal
you_know gonna bring yeah gonna yeah come_to rock i_keep my_head i_get new city street i_know good the_shadow far human gun too_late escape come_on go deep too_much town go deep too_much town well_i get_to go get_to go much deep gonna yeah gonna bring,pop
light my_life like you_make believe my_name be_mine oh shame you_come light my_life bring_me faith hope love_and light smile bring_me promise of_life outside a_world five oh_i oh you_give you_give your_love me_baby light my_life you_give faith hope love_and light bring sweet like sky my_eye love would pass right right oh baby_you light my_life like you_make believe i_never good feel love leave_me nothing_to baby_you really light my_life you_give faith hope love_and light you_give faith you_give hope you_give love_and light,pop
every little drop every little gotta gotta watch go go every little drop every little gotta gotta watch go go gotta gotta watch go miss cry lover oh wait a_little dream desire desire desire still inside,electronic
walk path go_on hear still say become close my_eye i_think back this_time moment remember story will_never get_to hear voice stay keep inside my_heart day pass keep alive become close my_eye i_think back this_time moment remember story will_never get_to hear voice stay never end leave will_never get_to hear voice always stay always stay,metal
song might the_way i_come let_me let_me let_me let_me let_me let_me let_me let_me let_me let_me let_me let_me let_me let_me let_me let_me let_me really really really hey well make_a keep know help gonna wind wind wind wind,rock
stone cold kiss the_city they_say bad bitch young boy gotta get cause talk gotta clothes i_get i_keep close talk real gotta one girl i_need two one tell come give like i_take drug though fuck girl ask i_know try ask eat sleep a_man ask livin start boy till start car full_of even cause_i,hip hop
read my_mind love thought tell just_like old time bout ghost well dark strong chain around my_foot ghost will_never set free ghost you_see read your_mind love thought would tell just_like sell reach come fail read book hard_to take like_a star get burn three way two bring thing love_be real i_never act and_get to_say i_know wrong back,rock
take_the till go black truth voice saw voice long the_last mistake the_last mistake blood heart break the_last mistake kid mile blood body outside the_door the_last mistake the_last mistake blood heart break the_last mistake men fool,rock
black god get nigga word oh shit yo hold fuck yo nigga enough fuckin around sound yo bring fuck mine check yo live enough the_city just_like family stone send home storm like_the light ride wave like inside pay long arm tryna strong arm walk time hit_the tell em show love_and black i_take bad look_for get_your back break deep write seek like_a every whole want dead alive escape across_the leave keep war face place baby break i_still shine time,hip hop
the_time think dream reach the_end still flame strong ever keep hold_on we_know storm baby love_be two heart find_a way the_fire burning something never live without it_take forever work beyond shadow baby love_be a_time go learn reason know reach side far beyond mountain,pop
wake_up sweet child something get_to say tonight time you_take look_at me_cause so_much meet the_eye well to_love time you_look find never easy they_say hard game pay hard game they_say win lose they_say hard game fear trouble tonight lose the_past make love last put worry back sweet pain remember start the_fire easy hard learn flame,rock
dear sell eye little good along the_way good angel bring back_to last face smile might become warm go wonder might see far far still time star play big wear good too_late hate go might somebody,rock
kill though i_never stop body blood turn blue die brain deep inside burn pain hate death cut flesh well body deep inside burn pain hate death blood blue black skin cut human flesh bone hold_you together body,metal
well oh baby baby_you want a_man oh baby baby sweet oh baby baby_i want_to look your_eye blue oh baby baby else well oh baby baby_you know i_see_you walk the_street oh baby baby well you_look good eat oh baby baby_i believe taste oh baby baby_i every talk talk oh baby baby_you know_that_i oh baby baby kiss oh baby baby sell oh baby baby_i get_a sweet full_of talk ooh talk talk ooh talk,rock
top i_want take_it i_look moment my_time fight get_the gun i_get cry yeah cry stay fuck lady drive crazy crazy lady drive crazy crazy yeah afraid grow alone the_light face the_dark maybe mama tell_me son go outside take cry yeah cry stay fuck,rock
make_a phone get_me blow ooh make_a phone get make_a phone we_get track i_hear get ooh yeah go baby go go baby go leave full_of go life i_get you_need go baby go,hip hop
today the_last day day free the_last one want much wish last free track today day free free track front free never live free lose style free rise free track,electronic
wing hell eat away never happy never knee broken blow shake be_come be_come be_come see_the shadow the_shadow come be_come see_the shadow be_come,rock
day bad be_bear foot first oh_no piece ever force oh_no sorry be_bear wrong death remain get let something waste make,metal
hold wait you_tell_me promise tell_me everything you_feel know the_truth even tell_me understand tell_me keep try try try love cry love hold wait you_tell_me promise tell_me everything keep_it real wear hair tell_me the_truth boy look_at understand tell_me keep try try try love cry love,pop
deep city dream enough knee deep fall woman alone city call_me call_me give_you ask time_i angel call_me call_me well see_the sight new see day become night see_the cover light call_me call_me,pop
still hop break hope hope story long year hold_on hold_on hold_on hold_on hold_on hold_on hold_on hold_on hold_on hold_on hold_on be_go find alone try_to be_go forever thing real be_go find alone try_to go forever thing real,metal
one rule u another you_see fit brother within understand mind oh like pick pick talk_to talk_to the_future the_future shame end one another life god know laugh cry bleed smile,pop
light wind blow the_night gun fire tear change blow fight red hot shoot hard fly tear apart chance fight evil without fear oh say sight fight fight power,heavy metal
man shit funny one strong fuck boy tell_me put my_heart bag bag nobody get hurt hurt love run love fast fast make_it bad make_it bad past whole different whole different cannot too_much talk last time_i saw end wake_up love_me first first one thing tell_me let woman know i_put i_put one thing my_heart tell_me i_see run your_love real real real your_love really true,hip hop
everyone love_you love_you like_i everyone see side one shot turn four end love turn war oh_oh_oh oh_oh_oh oh_oh i_get and_get i_look like_a fool whole old open good open good i_remember start thing pull somethin kill the_last one the_last one sure oh_oh_oh oh the_last one oh_oh i_get and_get i_look like_a fool whole old,pop
big thing drug high uh uh uh care hit go around you_feel pretty damn good hour take take_a you_feel great escape something life choose end close your_eye child run live_in another life i_make home damn well feel_like drive empty street burn pass kid hold hand the_street tonight another life,alternative rock
good hit_the sky hey ring cold they_say train well long way the_sun burn hot cold i_look like_a crawl like_a the_way i_get_to you_know it_take say man felt long way city you_look like_a star still the_way always a_time just_like,rock
die fill word hell piece dream drive crazy love give throw away you_need to_go you_need rest you_need something black,pop
inside heart soul let take_it away cause something gold let throw away word mean nothing hurt i_say word mean nothing stop i_say your_eye they_say nothing hurt day like i_say word mean nothing hurt follow path they_say nothing cause inside heart gold let take away,rock
cut cut human life cannot take much cannot weak cannot kill kill kill kill,metal
get around much smoke drive the_door walk go_to see old friend run cut the_wall go_to mind need pretend friend big listen say men go_to mind need reason pretend friend big i_say hey men go_to,rock
people say love_be fate buy take gotta try we_know the_night gonna u love_be gonna reach u arm eye burn the_dark wonder dream gonna find love_be wild thing ooh baby love_be wild thing hold wild thing ooh baby stop wild heart hold love_and like_a smile watch rise this_time secret love_be promise,pop
find dead the_street make read drug find_a get_to thing lay the_end fool go one ever say fool one fate way way lady put mirror check white ready_to leave outside tear way turn wave man sleep year end night fool go one ever say fool one fate way way,heavy metal
eye eye eye love touch eye eye dance like_you dance like_you dance like_you keep_it one foot keep_it one foot front keep_it one never the_sky one you_feel you_like dog eye eye love touch eye dance like_you you_feel hold hold fall knee kiss kiss the_rain every car never come you_walk away you_walk away you_take home you_take we_get skin eye eye love touch dance like_you dance keep_it keep_it one foot front one foot front never sky real thing i_remember i_need light soul call laugh play town play town roll blue line phone eye eye love touch dance like_you keep_it one foot front one foot front one ever sky you_feel,electronic
green the_wall line wait_for face see green hour meet my_eye people place take_a look find my_name inside book lose cast upon earth take_my place worth eye green woman stand behind call my_name,rock
dream crazy never felt day god never felt like_this night end i_feel love never never never never never never never lie never felt see hope die men cry never felt like_this lonely tear fear i_feel love never never never never never never last forever time every hard might try_to build bleed dry never lose love never never lose love never ever ever ever never never never never never never,pop
hey baby_i gotta leave ya the_time read your_life go forever survive gonna leave want ring i_give old way to_say let_me stay always love_you my_life hey baby_you keep everything end may i_go make_a new start broken heart read arm may get cause_i try_to love_you fit i_come leave the_wind,rock
yeah man_i sleep little get_me deep whole one take home take home the_night i_say angel gonna cut ya angel angel ooh angel oh man it_feel good get_me wake_up the_whole fuckin red get_me around little angel gonna cut ya angel gonna angel ooh angel watch,hard rock
know oh_i can_take whatever come you_know care you_know care always would end i_see ask word ear oh you_know_i care you_know care always would end,rock
come burn home year old to_see people die lie lonely leave_me day find take_me home old give_me lead land call give_me new desire train become strong home my_hand forever true stand hear_the call till fall i_say path true i_find seek people ride the_night,heavy metal
peace come oh_i know peace come sleep like_a child without pain without fear like_a smile sun oh peace come lord you_hear i_know_you know my_name write flow pain broken broken soul my_life run yeah peace come peace come blue,rock
the_fire memory time make love_and promise leave star wind want_to say the_word yesterday sun the_air i_wanna breathe girl everything_i need shin star a_long my_heart beat everything everything_i need the_fire burn song think_of the_word i_make,hard rock
enough burn cut control say enough secret i_know never girl cause hell girl the_truth cover well pray wrong be_right wake_up tear truth fit like open wound,alternative rock
learn father walk child like_the last one you_find try_to stay go game lonely love_be well well sometimes hold hand kiss the_light word miss to_feel free fear family knee,rock
angel fear the_world cause destiny soon way_to heal spread wing the_last flame burning land hand like alone look fall burn understand learn,metal
i_want_to go_to i_know spirit go alright i_want_to go_to deep cause nowhere i_want_to nobody i_want_to see alright pain brain work way inside hide even the_world alright wait shit life throw wait to_make escape i_want_to go_to i_want_to go_to,indie rock
another way_to feel come within another way_to feel come deep within within within i_would voice voice yes love love love_be love love_be,electronic
story go story never sorry flame right fight right strike cross ride stand cross one one the_end the_dark night the_rain hot fight cold the_pain alright true the_game hard strike flame right fight right strike strike flame right fight right strike strike cross ride stand cross one one the_end,heavy metal
get secret ah ah ah ah ah die ah die ah bitch die die war die war die face mama,hip hop
steal key car goin ride bird world go i_know gold let_the light yeah let_it call your_face call your_face blow away hey_hey i_want hey_hey kill hey_hey break,hard rock
get_a feeling blue oh lord since go_to sit cry oh lord last long day he_say oh lord would die get lord to_hear call_me sweet baby beautiful dream hate think my_heart grow man baby i_get blue in_love in_love guy matter well in_love in_love guy care well_i try i_try_to keep stay leave get_to say_i get_a feeling cause blue oh lord since go_to my_heart,rock
ask would_you give_me forever kiss would_you give_me open my_heart stand you_know stand my_eye someone else sure like_i love_you believe gonna love_me like_i love_you open my_heart stand you_know stand my_eye someone else lie go always my_mind someone else,electronic
within lie burn son human race never think fall lie dead the_time have_come face your_life burn son burn son,metal
meet fell in_love yeah never forget the_way my_name it_take year to_find a_new hope fear human yeah_i my_love love make sense your_love remember meet i_get never forget felt skin really head,pop
pass ask i_tell would behind back maybe let oh would understand turn blood city boy blood city man face take_it eye oh_i know make_it mind oh would understand turn blood city boy blood city man,rock
hell come along ride hell ride hear_the one say last hell hell demon hell sell your_soul well hell hell take_a ride the_night hell fight hell hell hell say last hell hell,rock
to_get the_moon god one wrong step take baby_you sweet baby_you know sweet take_a to_find cause baby_you sweet baby_you know sweet,pop
dead rise kill sign leave kill open wound evil cover body rest peace death piece body hold come death next,metal
time_to learn boy make seek one one fail fuck fuck ask follow one way style my_dream say my_name the_dark leave child leave home gonna,metal
take care care say word meet take care care year saw carry let one one hold watch fall fall final call safe your_hand damn another plan damn low feel_like day high escape go back_to clear act wake_up fear mind matter may take need help find thing line inside wind right build can_take,metal
hey man play song place go_to hey man play song come though i_know_that return my_hand leave_me stand still sleep my_foot no_one meet empty dead dream hey man play song place go_to hey man play song come you_take upon magic my_hand feel step wait ready_to go fade cast promise to_go hey man play song place go_to hey man play song,rock
far u call sky spread dark word cross land know_what fear empty full_of sin yes in_time your_heart mind make_you night wish run life oh,metal
something my_eye well something oh maybe feeling strong bed belong oh make love_and knee to_say devil give_me choose well go_to wait to_hear gun grow throw oh think great king well nothing name long grow,rock
you_feel feeling oh blue maybe a_little get maybe use whole cause king king king be_come king king king be_come true way way_to way way_to maybe a_little get maybe use whole cause king king king be_come king king king be_come true king king king be_come king king king be_come true,alternative rock
call_me crazy call my_name drive golden silence the_light low long black hair care cry the_truth deny you_know_i fell my_eye right cry the_truth deny my_eye eye fire give_me hope,hard rock
uh yeah to_love hot ride uh yeah uh you_like boy forget the_world cause gon tonight yeah_i wanna make_you make_you oh uh uh make_me feel_like girl the_world like_the ever love like_the know your_heart girl the_world like_the cause understand to_make you_feel like_a man yeah make_me feel_like girl the_world like_the ever love like_the know your_heart,pop
fight go u babe always fight smile get bright war back till late hour even though still blood one look like_a child help hide feelin sweet talkin you_know go babe hold_you babe go put babe you_know another baby_you know go babe hold_you babe go put babe you_know another sad thing work right you_get even go change way love one another everyone child believe go come tell_me sorry ah ear,pop
i_wanna love ya i_wanna love ya baby ever since i_find seem like happy say love_me turn baby_i can_feel seem like feelin everything seem like hop i_need i_need yeah i_need i_need everything thing everything thing i_need baby i_need i_need yeah_yeah_yeah yeah_yeah baby everything thing everything everything thing,pop
go_to party you_never want_to leave tonight ya see_the goin tonight yeah_i feeling gonna to_see tonight yeah everybody know never gonna get_a sleep tonight i_say yeah tonight ooh goin party you_never want_to leave tonight ya wanna see_the music body tonight yeah_i feeling i_know go_to see tonight yeah everybody know gonna follow around tonight i_say tonight i_go dry yeah,rock
man man back the_day magic never_be cause the_way another day livin life run never chance to_get free fast never even think last you_get mind a_man big always you_know every little thing to_know you_really know like love people get_it never fit pain taste last another day another night inside lonely world another game another fight inside lonely world another wrong another right inside lonely world lonely world lonely world,rock
king be_come stone bring one blood king take_me wing back belong fail heart faith,heavy metal
i_get old i_know hard_to sweet talk old old old hold together sleep you_make line old old old fell old old i_still see_you i_try_to sleep the_street call nobody call,rock
